Year,State,Population,Violent Crime Total,Murder and Nonnegligent Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime Total,Burglary,Larceny-Theft,Motor Vehicle Theft,Violent Crime Rate,Murder and Nonnegligent Manslaughter Rate,Rape Rate,Robbery Rate,Aggravated Assault Rate,Property Crime Rate,Burglary Rate,Larceny-Theft Rate,Motor Vechicle Theft Rate
"2012","Massachusetts","6,645,303","27,047","121","1,650","6,555","18,721","143,325","34,635","99,453","9,237","407.0","1.8","24.8","98.6","281.7","2,156.8","521.2","1,496.6","139.0"
"2013","Massachusetts","6,708,874","27,264","138","1,722","6,705","18,118","137,274","30,716","97,437","9,121","406.4","2.1","25.7","99.9","270.1","2,046.2","457.8","1,452.4","136.0"
"2014","Massachusetts","6,745,408","26,399","132","1,629","6,036","18,051","125,267","24,964","92,043","8,260","391.4","2.0","24.1","89.5","267.6","1,857.1","370.1","1,364.5","122.5"
"2001","Michigan","10,006,266","55,424","672","5,264","12,937","36,551","352,353","72,038","226,708","53,607","553.9","6.7","52.6","129.3","365.3","3,521.3","719.9","2,265.7","535.7"
"2002","Michigan","10,043,221","54,306","678","5,364","11,847","36,417","335,060","70,970","214,367","49,723","540.7","6.8","53.4","118.0","362.6","3,336.2","706.6","2,134.4","495.1"
"2003","Michigan","10,082,364","51,550","612","5,470","11,254","34,214","330,565","68,316","208,538","53,711","511.3","6.1","54.3","111.6","339.3","3,278.6","677.6","2,068.3","532.7"
"2004","Michigan","10,104,206","49,737","643","5,482","11,336","32,276","309,805","64,233","194,988","50,584","492.2","6.4","54.3","112.2","319.4","3,066.1","635.7","1,929.8","500.6"
"2005","Michigan","10,100,833","55,936","629","5,199","13,348","36,760","312,892","70,527","194,090","48,275","554.0","6.2","51.5","132.1","363.9","3,098.0","698.2","1,922.0","478.0"
"2006","Michigan","10,095,643","56,981","721","5,347","14,229","36,684","325,594","76,313","199,183","50,098","564.4","7.1","53.0","140.9","363.4","3,225.1","755.9","1,973.0","496.2"
"2007","Michigan","10,071,822","53,765","661","4,592","13,365","35,147","308,550","75,273","191,289","41,988","533.8","6.6","45.6","132.7","349.0","3,063.5","747.4","1,899.2","416.9"
"2008","Michigan","10,003,422","51,512","554","4,507","13,246","33,205","295,100","74,787","184,558","35,755","514.9","5.5","45.1","132.4","331.9","2,950.0","747.6","1,844.9","357.4"
"2009","Michigan","9,969,727","49,825","623","4,524","12,427","32,251","284,019","76,046","178,628","29,345","499.8","6.2","45.4","124.6","323.5","2,848.8","762.8","1,791.7","294.3"
"2010","Michigan","9,877,143","48,693","580","4,733","11,522","31,858","271,501","74,345","169,748","27,408","493.0","5.9","47.9","116.7","322.5","2,748.8","752.7","1,718.6","277.5"
"2011","Michigan","9,876,801","43,731","617","4,344","10,263","28,507","251,329","69,755","156,666","24,908","442.8","6.2","44.0","103.9","288.6","2,544.6","706.3","1,586.2","252.2"
"2012","Michigan","9,882,519","44,962","701","4,635","10,423","29,203","249,249","65,560","158,609","25,080","455.0","7.1","46.9","105.5","295.5","2,522.1","663.4","1,604.9","253.8"
"2013","Michigan","9,898,193","44,757","625","4,506","10,093","27,254","230,135","56,256","149,794","24,085","452.2","6.3","45.5","102.0","275.3","2,325.0","568.3","1,513.3","243.3"
"2014","Michigan","9,909,877","42,348","535","4,049","8,021","27,519","202,547","44,184","137,206","21,157","427.3","5.4","40.9","80.9","277.7","2,043.9","445.9","1,384.5","213.5"
"2001","Minnesota","4,984,535","13,145","119","2,236","3,758","7,032","165,046","25,496","124,519","15,031","263.7","2.4","44.9","75.4","141.1","3,311.2","511.5","2,498.1","301.6"
"2002","Minnesota","5,024,791","13,428","112","2,273","3,937","7,106","164,026","28,034","122,150","13,842","267.2","2.2","45.2","78.4","141.4","3,264.3","557.9","2,430.9","275.5"
"2003","Minnesota","5,064,172","13,316","127","2,092","3,906","7,191","157,663","27,698","116,216","13,749","262.9","2.5","41.3","77.1","142.0","3,113.3","546.9","2,294.9","271.5"
"2004","Minnesota","5,096,546","13,751","113","2,123","4,070","7,445","155,019","28,048","113,453","13,518","269.8","2.2","41.7","79.9","146.1","3,041.6","550.3","2,226.1","265.2"
"2005","Minnesota","5,126,739","15,243","115","2,258","4,724","8,146","158,301","29,716","114,304","14,281","297.0","2.2","44.0","92.1","158.9","3,088.0","579.6","2,230.0","279.0"
"2006","Minnesota","5,167,101","16,042","126","1,645","5,441","8,830","159,276","30,306","115,693","13,277","310.5","2.4","31.8","105.3","170.9","3,082.5","586.5","2,239.0","257.0"
"2007","Minnesota","5,197,621","15,054","116","1,873","4,770","8,295","158,257","29,717","115,892","12,648","289.6","2.2","36.0","91.8","159.6","3,044.8","571.7","2,229.7","243.3"
"2008","Minnesota","5,220,393","13,853","110","1,805","4,179","7,759","149,517","26,558","112,764","10,195","265.4","2.1","34.6","80.1","148.6","2,864.1","508.7","2,160.1","195.3"
"2009","Minnesota","5,266,214","12,874","74","1,789","3,619","7,392","139,286","25,580","105,160","8,546","244.5","1.4","34.0","68.7","140.4","2,644.9","485.7","1,996.9","162.3"
"2010","Minnesota","5,310,658","12,515","96","1,798","3,388","7,233","136,431","24,415","103,429","8,587","235.7","1.8","33.9","63.8","136.2","2,569.0","459.7","1,947.6","161.7"
"2011","Minnesota","5,347,299","12,323","75","2,113","3,385","6,750","136,183","25,681","102,354","8,148","230.5","1.4","39.5","63.3","126.2","2,546.8","480.3","1,914.1","152.4"
"2012","Minnesota","5,379,646","12,419","99","1,638","3,475","7,207","138,152","25,378","104,316","8,458","230.9","1.8","30.4","64.6","134.0","2,568.1","471.7","1,939.1","157.2"
"2013","Minnesota","5,422,060","12,710","114","1,453","3,674","6,908","131,193","22,713","100,514","7,966","234.4","2.1","26.8","67.8","127.4","2,419.6","418.9","1,853.8","146.9"
"2014","Minnesota","5,457,173","12,505","88","1,452","3,687","6,729","125,377","20,773","96,237","8,367","229.1","1.6","26.6","67.6","123.3","2,297.5","380.7","1,763.5","153.3"
"2001","Mississippi","2,859,733","10,006","282","1,147","3,294","5,283","109,609","29,821","70,315","9,473","349.9","9.9","40.1","115.2","184.7","3,832.8","1,042.8","2,458.8","331.3"
"2002","Mississippi","2,866,733","9,858","264","1,127","3,356","5,111","109,584","29,593","70,468","9,523","343.9","9.2","39.3","117.1","178.3","3,822.6","1,032.3","2,458.1","332.2"
"2003","Mississippi","2,882,594","9,336","267","1,079","3,016","4,974","106,867","29,564","68,307","8,996","323.9","9.3","37.4","104.6","172.6","3,707.3","1,025.6","2,369.6","312.1"
"2004","Mississippi","2,900,768","8,568","227","1,161","2,503","4,677","100,980","27,661","65,440","7,879","295.4","7.8","40.0","86.3","161.2","3,481.1","953.6","2,256.0","271.6"
"2005","Mississippi","2,908,496","8,131","214","1,147","2,405","4,365","95,231","26,866","60,873","7,492","280.0","7.4","39.4","82.7","150.1","3,274.0","923.7","2,093.0","258.0"
"2006","Mississippi","2,910,540","9,076","231","1,039","3,259","4,547","92,853","27,117","57,406","8,330","311.8","7.9","35.7","112.0","156.2","3,190.2","931.7","1,972.3","286.2"
"2007","Mississippi","2,918,785","8,502","202","1,033","2,896","4,371","90,887","27,223","56,473","7,191","291.3","6.9","35.4","99.2","149.8","3,113.9","932.7","1,934.8","246.4"
"2008","Mississippi","2,938,618","8,942","236","958","3,079","4,669","85,488","25,506","53,730","6,252","304.3","8.0","32.6","104.8","158.9","2,909.1","868.0","1,828.4","212.8"
"2009","Mississippi","2,951,996","8,451","194","991","2,969","4,297","87,327","29,559","52,329","5,439","286.3","6.6","33.6","100.6","145.6","2,958.2","1,001.3","1,772.7","184.2"
"2010","Mississippi","2,970,072","7,999","204","931","2,777","4,087","88,596","30,453","52,784","5,359","269.3","6.9","31.3","93.5","137.6","2,983.0","1,025.3","1,777.2","180.4"
"2011","Mississippi","2,977,457","8,009","232","863","2,496","4,418","89,809","30,722","54,179","4,908","269.0","7.8","29.0","83.8","148.4","3,016.3","1,031.8","1,819.6","164.8"
"2012","Mississippi","2,986,450","7,769","213","819","2,277","4,460","83,933","28,084","51,520","4,329","260.1","7.1","27.4","76.2","149.3","2,810.5","940.4","1,725.1","145.0"
"2013","Mississippi","2,992,206","8,303","217","726","2,413","4,649","81,548","24,969","52,192","4,387","277.5","7.3","24.3","80.6","155.4","2,725.3","834.5","1,744.3","146.6"
"2014","Mississippi","2,994,079","8,338","258","764","2,430","4,592","87,462","24,352","58,591","4,519","278.5","8.6","25.5","81.2","153.4","2,921.2","813.3","1,956.9","150.9"
"2001","Missouri","5,637,309","30,472","372","1,383","7,771","20,946","238,411","42,977","167,420","28,014","540.5","6.6","24.5","137.8","371.6","4,229.2","762.4","2,969.9","496.9"
"2002","Missouri","5,669,544","30,557","331","1,465","7,024","21,737","230,520","42,721","159,921","27,878","539.0","5.8","25.8","123.9","383.4","4,065.9","753.5","2,820.7","491.7"
"2003","Missouri","5,719,204","28,067","289","1,400","6,686","19,692","233,564","41,997","161,616","29,951","490.8","5.1","24.5","116.9","344.3","4,083.9","734.3","2,825.8","523.7"
"2004","Missouri","5,759,532","28,226","354","1,479","6,630","19,763","224,629","40,472","158,264","25,893","490.1","6.1","25.7","115.1","343.1","3,900.1","702.7","2,747.9","449.6"
"2005","Missouri","5,797,703","30,477","402","1,625","7,196","21,254","227,809","42,822","159,288","25,699","526.0","6.9","28.0","124.1","366.6","3,929.0","738.6","2,747.0","443.0"
"2006","Missouri","5,842,713","31,897","369","1,764","7,597","22,167","224,007","44,734","153,874","25,399","545.9","6.3","30.2","130.0","379.4","3,834.0","765.6","2,633.6","434.7"
"2007","Missouri","5,878,415","32,962","367","1,785","7,728","23,082","225,113","44,897","156,319","23,897","560.7","6.2","30.4","131.5","392.7","3,829.5","763.8","2,659.2","406.5"
"2008","Missouri","5,911,605","29,701","456","1,612","7,395","20,238","216,522","45,763","150,002","20,757","502.4","7.7","27.3","125.1","342.3","3,662.7","774.1","2,537.4","351.1"
"2009","Missouri","5,987,580","29,513","387","1,606","7,437","20,083","201,783","43,591","140,764","17,428","492.9","6.5","26.8","124.2","335.4","3,370.0","728.0","2,350.9","291.1"
"2010","Missouri","5,995,715","27,440","420","1,445","6,185","19,390","200,858","44,197","140,526","16,135","457.7","7.0","24.1","103.2","323.4","3,350.0","737.1","2,343.8","269.1"
"2011","Missouri","6,008,984","26,888","366","1,469","6,275","18,778","199,085","44,875","138,879","15,331","447.5","6.1","24.4","104.4","312.5","3,313.1","746.8","2,311.2","255.1"
"2012","Missouri","6,024,522","27,189","390","1,527","5,782","19,490","199,813","42,510","140,971","16,332","451.3","6.5","25.3","96.0","323.5","3,316.7","705.6","2,340.0","271.1"
"2013","Missouri","6,044,917","26,216","369","1,679","5,486","18,056","189,655","38,797","134,514","16,344","433.7","6.1","27.8","90.8","298.7","3,137.4","641.8","2,225.2","270.4"
"2014","Missouri","6,063,589","26,856","403","1,706","5,592","18,482","176,237","35,258","124,622","16,357","442.9","6.6","28.1","92.2","304.8","2,906.5","581.5","2,055.3","269.8"
"2001","Montana","905,382","3,187","34","188","230","2,735","30,175","3,670","24,684","1,821","352.0","3.8","20.8","25.4","302.1","3,332.8","405.4","2,726.4","201.1"
"2002","Montana","910,372","3,197","16","237","283","2,661","28,751","3,289","23,679","1,783","351.2","1.8","26.0","31.1","292.3","3,158.2","361.3","2,601.0","195.9"
"2003","Montana","918,157","3,351","30","246","298","2,777","28,428","3,722","22,800","1,906","365.0","3.3","26.8","32.5","302.5","3,096.2","405.4","2,483.2","207.6"
"2004","Montana","926,920","2,723","30","273","233","2,187","27,215","3,515","22,082","1,618","293.8","3.2","29.5","25.1","235.9","2,936.1","379.2","2,382.3","174.6"
"2005","Montana","934,737","2,634","18","301","177","2,138","29,407","3,642","23,794","1,971","282.0","1.9","32.2","18.9","228.7","3,146.0","389.6","2,546.0","211.0"
"2006","Montana","944,632","3,564","33","348","233","2,950","26,986","3,380","21,659","1,947","377.3","3.5","36.8","24.7","312.3","2,856.8","357.8","2,292.9","206.1"
"2007","Montana","957,861","3,638","27","363","233","3,015","27,837","3,476","22,315","2,046","379.8","2.8","37.9","24.3","314.8","2,906.2","362.9","2,329.7","213.6"
"2008","Montana","967,440","3,013","40","358","204","2,411","26,300","3,689","20,834","1,777","311.4","4.1","37.0","21.1","249.2","2,718.5","381.3","2,153.5","183.7"
"2009","Montana","974,989","2,798","32","357","228","2,181","24,826","3,686","19,528","1,612","287.0","3.3","36.6","23.4","223.7","2,546.3","378.1","2,002.9","165.3"
"2010","Montana","990,958","2,733","25","332","154","2,222","25,409","3,692","20,166","1,551","275.8","2.5","33.5","15.5","224.2","2,564.1","372.6","2,035.0","156.5"
"2011","Montana","997,667","2,755","29","366","171","2,189","23,885","3,347","19,089","1,449","276.1","2.9","36.7","17.1","219.4","2,394.1","335.5","1,913.4","145.2"
"2012","Montana","1,005,494","2,803","29","392","202","2,180","26,102","3,920","20,484","1,698","278.8","2.9","39.0","20.1","216.8","2,595.9","389.9","2,037.2","168.9"
"2013","Montana","1,014,864","2,924","23","382","217","2,217","26,195","4,122","20,192","1,881","288.1","2.3","37.6","21.4","218.5","2,581.1","406.2","1,989.6","185.3"
"2014","Montana","1,023,579","3,313","37","430","203","2,532","25,312","3,595","19,674","2,043","323.7","3.6","42.0","19.8","247.4","2,472.9","351.2","1,922.1","199.6"
"2001","Nebraska","1,720,039","5,214","43","431","1,128","3,612","68,963","9,760","52,713","6,490","303.1","2.5","25.1","65.6","210.0","4,009.4","567.4","3,064.6","377.3"
"2002","Nebraska","1,727,564","5,428","48","464","1,359","3,557","68,178","10,329","51,440","6,409","314.2","2.8","26.9","78.7","205.9","3,946.5","597.9","2,977.6","371.0"
"2003","Nebraska","1,737,475","5,105","56","504","1,165","3,380","65,189","10,133","48,924","6,132","293.8","3.2","29.0","67.1","194.5","3,751.9","583.2","2,815.8","352.9"
"2004","Nebraska","1,747,704","5,393","40","620","1,138","3,595","61,512","9,826","46,399","5,287","308.6","2.3","35.5","65.1","205.7","3,519.6","562.2","2,654.9","302.5"
"2005","Nebraska","1,758,163","5,052","44","581","1,040","3,387","60,348","9,408","45,359","5,581","287.0","2.5","33.0","59.2","192.6","3,432.0","535.1","2,580.0","317.0"
"2006","Nebraska","1,768,331","5,197","51","577","1,136","3,433","59,411","9,535","44,710","5,166","293.9","2.9","32.6","64.2","194.1","3,359.7","539.2","2,528.4","292.1"
"2007","Nebraska","1,774,571","5,524","71","550","1,115","3,788","55,765","9,035","41,484","5,246","311.3","4.0","31.0","62.8","213.5","3,142.4","509.1","2,337.7","295.6"
"2008","Nebraska","1,783,432","5,570","69","601","1,297","3,603","51,350","8,731","38,394","4,225","312.3","3.9","33.7","72.7","202.0","2,879.3","489.6","2,152.8","236.9"
"2009","Nebraska","1,796,619","5,199","41","617","1,220","3,321","49,731","8,726","37,496","3,509","289.4","2.3","34.3","67.9","184.8","2,768.0","485.7","2,087.0","195.3"
"2010","Nebraska","1,830,141","5,093","54","674","1,020","3,345","48,827","8,318","36,896","3,613","278.3","3.0","36.8","55.7","182.8","2,667.9","454.5","2,016.0","197.4"
"2011","Nebraska","1,842,234","4,672","68","699","993","2,912","50,894","8,725","38,060","4,109","253.6","3.7","37.9","53.9","158.1","2,762.6","473.6","2,066.0","223.0"
"2012","Nebraska","1,855,350","4,802","52","710","1,128","2,912","51,203","8,745","38,301","4,157","258.8","2.8","38.3","60.8","157.0","2,759.7","471.3","2,064.4","224.1"
"2013","Nebraska","1,868,969","4,949","56","621","1,035","3,011","49,197","8,945","35,791","4,461","264.8","3.0","33.2","55.4","161.1","2,632.3","478.6","1,915.0","238.7"
"2014","Nebraska","1,881,503","5,275","54","620","1,043","3,316","47,479","7,950","35,074","4,455","280.4","2.9","33.0","55.4","176.2","2,523.5","422.5","1,864.1","236.8"
"2001","Nevada","2,097,722","12,359","180","883","4,932","6,364","77,486","17,711","45,073","14,702","589.2","8.6","42.1","235.1","303.4","3,693.8","844.3","2,148.7","700.9"
"2002","Nevada","2,167,455","13,856","181","928","5,118","7,629","83,896","18,951","47,459","17,486","639.3","8.4","42.8","236.1","352.0","3,870.7","874.3","2,189.6","806.8"
"2003","Nevada","2,242,207","13,813","197","871","5,225","7,520","96,128","21,958","53,321","20,849","616.0","8.8","38.8","233.0","335.4","4,287.2","979.3","2,378.1","929.8"
"2004","Nevada","2,332,898","14,379","172","954","4,905","8,348","98,215","23,142","52,438","22,635","616.4","7.4","40.9","210.3","357.8","4,210.0","992.0","2,247.8","970.3"
"2005","Nevada","2,412,301","14,654","206","1,016","4,702","8,730","102,424","23,481","52,012","26,931","608.0","8.5","42.1","194.9","361.9","4,246.0","973.4","2,156.0","1,116.0"
"2006","Nevada","2,495,529","18,687","226","1,092","7,038","10,331","102,338","24,902","50,429","27,007","748.8","9.1","43.8","282.0","414.0","4,100.9","997.9","2,020.8","1,082.2"
"2007","Nevada","2,565,382","19,365","193","1,096","6,938","11,138","97,118","24,911","49,844","22,363","754.9","7.5","42.7","270.4","434.2","3,785.7","971.0","1,942.9","871.7"
"2008","Nevada","2,600,167","18,973","165","1,106","6,486","11,216","90,006","24,254","49,814","15,938","729.7","6.3","42.5","249.4","431.4","3,461.5","932.8","1,915.8","613.0"
"2009","Nevada","2,643,085","18,639","156","1,024","6,028","11,431","80,976","22,115","46,463","12,398","705.2","5.9","38.7","228.1","432.5","3,063.7","836.7","1,757.9","469.1"
"2010","Nevada","2,704,283","17,929","158","965","5,298","11,508","75,004","22,286","42,533","10,185","663.0","5.8","35.7","195.9","425.5","2,773.5","824.1","1,572.8","376.6"
"2011","Nevada","2,720,028","15,452","139","913","4,308","10,092","70,075","20,342","40,156","9,577","568.1","5.1","33.6","158.4","371.0","2,576.3","747.9","1,476.3","352.1"
"2012","Nevada","2,754,354","16,763","124","931","4,918","10,790","77,510","22,120","45,372","10,018","608.6","4.5","33.8","178.6","391.7","2,814.1","803.1","1,647.3","363.7"
"2013","Nevada","2,791,494","16,888","163","1,090","5,183","10,060","79,177","23,047","46,132","9,998","605.0","5.8","39.0","185.7","360.4","2,836.4","825.6","1,652.6","358.2"
"2014","Nevada","2,839,099","18,045","170","995","5,954","10,564","74,538","21,927","42,426","10,185","635.6","6.0","35.0","209.7","372.1","2,625.4","772.3","1,494.3","358.7"
"2001","New Hampshire","1,259,359","2,144","17","458","445","1,224","27,089","4,889","20,060","2,140","170.2","1.3","36.4","35.3","97.2","2,151.0","388.2","1,592.9","169.9"
"2002","New Hampshire","1,274,405","2,056","12","446","413","1,185","26,250","4,838","19,468","1,944","161.3",".9","35.0","32.4","93.0","2,059.8","379.6","1,527.6","152.5"
"2003","New Hampshire","1,288,705","1,937","17","438","480","1,002","26,456","4,589","19,934","1,933","150.3","1.3","34.0","37.2","77.8","2,052.9","356.1","1,546.8","150.0"
"2004","New Hampshire","1,299,169","2,202","17","466","500","1,219","26,658","4,979","19,723","1,956","169.5","1.3","35.9","38.5","93.8","2,051.9","383.2","1,518.1","150.6"
"2005","New Hampshire","1,306,819","1,761","19","406","365","971","24,031","4,192","18,493","1,346","135.0","1.5","31.1","27.9","74.3","1,839.0","320.8","1,415.0","103.0"
"2006","New Hampshire","1,314,895","1,785","13","295","435","1,042","26,060","4,395","20,179","1,486","138.8","1.0","22.4","33.1","79.2","1,981.9","334.2","1,534.6","113.0"
"2007","New Hampshire","1,315,828","1,896","12","357","451","1,076","26,394","5,074","19,909","1,411","144.1",".9","27.1","34.3","81.8","2,005.9","385.6","1,513.0","107.2"
"2008","New Hampshire","1,315,809","2,054","14","385","421","1,234","28,387","4,266","22,714","1,407","156.1","1.1","29.3","32.0","93.8","2,157.4","324.2","1,726.2","106.9"
"2009","New Hampshire","1,324,575","2,125","11","399","454","1,261","28,790","4,915","22,748","1,127","160.4",".8","30.1","34.3","95.2","2,173.5","371.1","1,717.4","85.1"
"2010","New Hampshire","1,316,807","2,204","13","411","450","1,330","29,230","5,444","22,789","997","167.4","1.0","31.2","34.2","101.0","2,219.8","413.4","1,730.6","75.7"
"2011","New Hampshire","1,317,807","2,864","16","581","509","1,758","32,756","6,244","25,398","1,114","217.3","1.2","44.1","38.6","133.4","2,485.6","473.8","1,927.3","84.5"
"2012","New Hampshire","1,321,617","2,841","15","486","471","1,869","32,074","5,988","25,024","1,062","215.0","1.1","36.8","35.6","141.4","2,426.9","453.1","1,893.4","80.4"
"2013","New Hampshire","1,322,616","2,952","21","522","647","1,506","29,278","4,979","23,355","944","223.2","1.6","39.5","48.9","113.9","2,213.6","376.5","1,765.8","71.4"
"2014","New Hampshire","1,326,813","2,602","12","458","537","1,459","26,041","4,162","21,022","857","196.1",".9","34.5","40.5","110.0","1,962.7","313.7","1,584.4","64.6"
"2001","New Jersey","8,511,116","33,094","336","1,278","14,110","17,370","240,551","46,812","156,031","37,708","388.8","3.9","15.0","165.8","204.1","2,826.3","550.0","1,833.3","443.0"
"2002","New Jersey","8,575,252","32,252","339","1,365","13,955","16,593","227,715","43,899","148,061","35,755","376.1","4.0","15.9","162.7","193.5","2,655.5","511.9","1,726.6","417.0"
"2003","New Jersey","8,642,412","31,488","406","1,288","13,342","16,452","220,350","43,457","142,287","34,606","364.3","4.7","14.9","154.4","190.4","2,549.6","502.8","1,646.4","400.4"
"2004","New Jersey","8,685,166","30,943","392","1,331","13,076","16,144","211,313","41,030","139,977","30,306","356.3","4.5","15.3","150.6","185.9","2,433.0","472.4","1,611.7","348.9"
"2005","New Jersey","8,703,150","30,919","417","1,208","13,215","16,079","203,391","38,980","136,728","27,683","355.0","4.8","13.9","151.8","184.7","2,337.0","447.9","1,571.0","318.0"
"2006","New Jersey","8,724,560","30,550","427","1,201","13,360","15,562","198,820","39,384","134,687","24,749","350.2","4.9","13.8","153.1","178.4","2,278.9","451.4","1,543.8","283.7"
"2007","New Jersey","8,685,920","28,544","381","1,032","12,567","14,564","192,338","37,234","133,145","21,959","328.6","4.4","11.9","144.7","167.7","2,214.4","428.7","1,532.9","252.8"
"2008","New Jersey","8,682,661","28,351","376","1,122","12,701","14,152","199,127","40,402","138,545","20,180","326.5","4.3","12.9","146.3","163.0","2,293.4","465.3","1,595.7","232.4"
"2009","New Jersey","8,707,739","27,113","319","1,041","11,639","14,114","180,752","36,945","128,303","15,504","311.4","3.7","12.0","133.7","162.1","2,075.8","424.3","1,473.4","178.0"
"2010","New Jersey","8,799,593","27,055","371","981","11,818","13,885","183,042","38,732","128,754","15,556","307.5","4.2","11.1","134.3","157.8","2,080.1","440.2","1,463.2","176.8"
"2011","New Jersey","8,834,773","27,203","380","1,006","12,209","13,608","189,719","43,238","129,066","17,415","307.9","4.3","11.4","138.2","154.0","2,147.4","489.4","1,460.9","197.1"
"2012","New Jersey","8,867,749","25,727","388","1,035","11,385","12,919","181,481","42,338","122,662","16,481","290.1","4.4","11.7","128.4","145.7","2,046.5","477.4","1,383.2","185.9"
"2013","New Jersey","8,911,502","25,748","404","861","12,084","12,071","167,634","35,883","118,005","13,746","288.9","4.5","9.7","135.6","135.5","1,881.1","402.7","1,324.2","154.3"
"2014","New Jersey","8,938,175","23,346","349","953","10,498","11,225","154,993","31,710","111,578","11,705","261.2","3.9","10.7","117.5","125.6","1,734.1","354.8","1,248.3","131.0"
"2001","New Mexico","1,830,935","14,288","99","850","2,695","10,644","83,095","19,552","56,406","7,137","780.4","5.4","46.4","147.2","581.3","4,538.4","1,067.9","3,080.7","389.8"
"2002","New Mexico","1,852,044","13,719","152","1,027","2,206","10,334","80,477","19,634","53,406","7,437","740.7","8.2","55.5","119.1","558.0","4,345.3","1,060.1","2,883.6","401.6"
"2003","New Mexico","1,878,562","12,535","116","940","1,937","9,542","76,816","18,997","50,595","7,224","667.3","6.2","50.0","103.1","507.9","4,089.1","1,011.3","2,693.3","384.5"
"2004","New Mexico","1,903,006","13,081","169","1,039","2,062","9,811","79,895","19,924","52,069","7,902","687.4","8.9","54.6","108.4","515.6","4,198.4","1,047.0","2,736.1","415.2"
"2005","New Mexico","1,925,985","12,448","144","1,041","1,893","9,370","79,575","20,939","50,707","7,929","646.0","7.5","54.1","98.3","486.5","4,132.0","1,087.2","2,633.0","412.0"
"2006","New Mexico","1,954,599","12,797","134","1,073","2,095","9,495","76,000","20,906","45,864","9,230","654.7","6.9","54.9","107.2","485.8","3,888.3","1,069.6","2,346.5","472.2"
"2007","New Mexico","1,969,915","13,311","183","1,028","2,323","9,777","75,168","20,823","45,442","8,903","675.7","9.3","52.2","117.9","496.3","3,815.8","1,057.1","2,306.8","451.9"
"2008","New Mexico","1,984,356","12,967","161","1,118","2,151","9,537","75,718","20,706","46,995","8,017","653.5","8.1","56.3","108.4","480.6","3,815.7","1,043.5","2,368.3","404.0"
"2009","New Mexico","2,009,671","12,709","198","1,069","1,932","9,510","74,639","21,955","46,182","6,502","632.4","9.9","53.2","96.1","473.2","3,714.0","1,092.5","2,298.0","323.5"
"2010","New Mexico","2,065,913","12,147","140","959","1,616","9,432","70,776","21,023","44,503","5,250","588.0","6.8","46.4","78.2","456.6","3,425.9","1,017.6","2,154.2","254.1"
"2011","New Mexico","2,078,674","11,904","158","856","1,720","9,170","73,549","21,419","46,730","5,400","572.7","7.6","41.2","82.7","441.1","3,538.3","1,030.4","2,248.1","259.8"
"2012","New Mexico","2,083,540","11,660","116","957","1,847","8,740","75,094","21,384","48,247","5,463","559.6","5.6","45.9","88.6","419.5","3,604.2","1,026.3","2,315.6","262.2"
"2013","New Mexico","2,086,895","12,990","123","1,135","1,832","9,470","78,958","21,828","51,146","5,984","622.5","5.9","54.4","87.8","453.8","3,783.5","1,046.0","2,450.8","286.7"
"2014","New Mexico","2,085,572","12,459","101","1,071","2,086","8,797","73,877","18,505","49,082","6,290","597.4","4.8","51.4","100.0","421.8","3,542.3","887.3","2,353.4","301.6"
"2001","New York","19,084,350","98,022","960","3,546","36,555","56,961","458,003","80,400","329,316","48,287","513.6","5.0","18.6","191.5","298.5","2,399.9","421.3","1,725.6","253.0"
"2002","New York","19,134,293","95,030","909","3,885","36,653","53,583","442,091","76,700","318,025","47,366","496.6","4.8","20.3","191.6","280.0","2,310.5","400.9","1,662.1","247.5"
"2003","New York","19,212,425","89,486","934","3,775","35,790","48,987","432,079","75,453","311,422","45,204","465.8","4.9","19.6","186.3","255.0","2,249.0","392.7","1,620.9","235.3"
"2004","New York","19,280,727","84,914","889","3,608","33,506","46,911","422,734","70,696","311,036","41,002","440.4","4.6","18.7","173.8","243.3","2,192.5","366.7","1,613.2","212.7"
"2005","New York","19,315,721","85,839","874","3,636","35,179","46,150","405,990","68,034","302,220","35,736","444.0","4.5","18.8","182.1","238.9","2,102.0","352.2","1,565.0","185.0"
"2006","New York","19,306,183","84,016","922","3,168","34,459","45,467","398,577","68,617","297,827","32,133","435.2","4.8","16.4","178.5","235.5","2,064.5","355.4","1,542.7","166.4"
"2007","New York","19,297,729","79,962","805","2,928","31,085","45,144","383,624","64,914","290,681","28,029","414.4","4.2","15.2","161.1","233.9","1,987.9","336.4","1,506.3","145.2"
"2008","New York","19,490,297","77,546","836","2,798","31,787","42,125","388,599","65,544","297,962","25,093","397.9","4.3","14.4","163.1","216.1","1,993.8","336.3","1,528.8","128.7"
"2009","New York","19,541,453","75,110","781","2,582","28,141","43,606","377,537","62,769","292,897","21,871","384.4","4.0","13.2","144.0","223.1","1,932.0","321.2","1,498.8","111.9"
"2010","New York","19,395,206","76,492","868","2,797","28,630","44,197","379,710","65,839","293,232","20,639","394.4","4.5","14.4","147.6","227.9","1,957.8","339.5","1,511.9","106.4"
"2011","New York","19,501,616","77,463","769","2,751","28,405","45,538","371,837","65,227","287,361","19,249","397.2","3.9","14.1","145.7","233.5","1,906.7","334.5","1,473.5","98.7"
